Ensembl Gene ID	Ensembl Transcript ID	Ensembl Protein ID	Description	Chromosome Name	Gene Start (bp)	Gene End (bp)
ENSG00000211991	ENST00000390702			X	70022829	70022939
ENSG00000206826	ENST00000384099		"RNA, U6 small nuclear 974, pseudogene [Source:HGNC Symbol;Acc:HGNC:47937]"	X	82001220	82001327
ENSG00000265260	ENST00000464966		"RNA, 7SL, cytoplasmic 74, pseudogene [Source:HGNC Symbol;Acc:HGNC:46090]"	X	97341046	97341344
ENSG00000275335	ENST00000619508		microRNA 8088 [Source:HGNC Symbol;Acc:HGNC:50167]	X	52336557	52336642
ENSG00000212075	ENST00000390786			X	25206370	25206460
ENSG00000278536	ENST00000615348			X	53001527	53001617
ENSG00000263509	ENST00000581985			X	28376963	28377061
ENSG00000221317	ENST00000408390			X	122471725	122471818
ENSG00000201420	ENST00000364550		"RNA, 5S ribosomal pseudogene 512 [Source:HGNC Symbol;Acc:HGNC:43412]"	X	111669829	111669948
ENSG00000216047	ENST00000401228			X	131404510	131404602
ENSG00000264268	ENST00000582827		microRNA 4767 [Source:HGNC Symbol;Acc:HGNC:41548]	X	7147860	7147937
ENSG00000277577	ENST00000615964		X-chromosome inactivation gene exon 4 [Source:RFAM;Acc:RF01881]	X	73831145	73831270
ENSG00000263425	ENST00000581149			X	23756172	23756281
ENSG00000228965	ENST00000415403			X	152045314	152046193
ENSG00000212560	ENST00000391258		"RNA, U6 small nuclear 630, pseudogene [Source:HGNC Symbol;Acc:HGNC:47593]"	X	42139425	42139530
ENSG00000280934	ENST00000628661			X	109659904	109659968
ENSG00000216064	ENST00000401245		microRNA 891b [Source:HGNC Symbol;Acc:HGNC:33645]	X	146001053	146001131
ENSG00000201618	ENST00000364748		"RNA, 5S ribosomal pseudogene 505 [Source:HGNC Symbol;Acc:HGNC:43405]"	X	53909054	53909161
ENSG00000212495	ENST00000391193		"RNA, U6 small nuclear 332, pseudogene [Source:HGNC Symbol;Acc:HGNC:47295]"	X	94003815	94003922
ENSG00000252810	ENST00000517001		"RNA, U6 small nuclear 345, pseudogene [Source:HGNC Symbol;Acc:HGNC:47308]"	X	101915589	101915695
ENSG00000238730	ENST00000459221		"RNA, U7 small nuclear 164 pseudogene [Source:HGNC Symbol;Acc:HGNC:45698]"	X	40535502	40535563
ENSG00000207785	ENST00000385051		microRNA 500a [Source:HGNC Symbol;Acc:HGNC:32134]	X	50008431	50008514
ENSG00000281135	ENST00000626756		microRNA 664b [Source:HGNC Symbol;Acc:HGNC:43501]	X	154768596	154768656
ENSG00000252627	ENST00000516818		"RNA, U6 small nuclear 122, pseudogene [Source:HGNC Symbol;Acc:HGNC:47085]"	X	123874459	123874565
ENSG00000207846	ENST00000385111			X	107428989	107429079
ENSG00000222114	ENST00000410182		"RNA, U6 small nuclear 985, pseudogene [Source:HGNC Symbol;Acc:HGNC:47948]"	X	137687891	137687994
ENSG00000206752	ENST00000384025		"RNA, U6 small nuclear 1323, pseudogene [Source:HGNC Symbol;Acc:HGNC:48286]"	X	116850839	116850945
ENSG00000207104	ENST00000384376		"RNA, U6 small nuclear 434, pseudogene [Source:HGNC Symbol;Acc:HGNC:47397]"	X	54343546	54343652
ENSG00000266257	ENST00000582731			X	30315085	30315178
ENSG00000275070	ENST00000614439		Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	X	129796491	129796783
ENSG00000265176	ENST00000580198		microRNA 3202-2 [Source:HGNC Symbol;Acc:HGNC:38228]	X	153981097	153981177
ENSG00000278560	ENST00000618214			X	3188166	3188251
ENSG00000252441	ENST00000516632		Small nucleolar RNA SNORA64/SNORA10 family [Source:RFAM;Acc:RF00264]	X	115545637	115545717
ENSG00000280699	ENST00000625970		SMAD5 antisense RNA 1 conserved region 2 [Source:RFAM;Acc:RF02174]	X	125204378	125204511
ENSG00000242559	ENST00000475761		"RNA, 7SL, cytoplasmic 144, pseudogene [Source:HGNC Symbol;Acc:HGNC:46160]"	X	41683168	41683462
ENSG00000277717	ENST00000619194		U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]	X	86481028	86481130
ENSG00000239080	ENST00000458945		Small nucleolar RNA U13 [Source:RFAM;Acc:RF01210]	X	136134317	136134420
ENSG00000252163	ENST00000516354		"RNA, 7SK small nuclear pseudogene 31 [Source:HGNC Symbol;Acc:HGNC:45755]"	X	138397351	138397628
ENSG00000212347	ENST00000391045		Small nucleolar RNA SNORD77 [Source:RFAM;Acc:RF00591]	X	45892912	45892979
ENSG00000252856	ENST00000517047		"RNA, 5S ribosomal pseudogene 503 [Source:HGNC Symbol;Acc:HGNC:43403]"	X	48206258	48206374
ENSG00000207426	ENST00000384695		Y RNA [Source:RFAM;Acc:RF00019]	X	96701507	96701619
ENSG00000202231	ENST00000365361		Small nucleolar RNA SNORA9 [Source:RFAM;Acc:RF00411]	X	100822620	100822752
ENSG00000275790	ENST00000617015			X	39981591	39981677
ENSG00000225833	ENST00000421585			X	15602881	15621484
ENSG00000207367	ENST00000384637		"RNA, U6 small nuclear 29, pseudogene [Source:HGNC Symbol;Acc:HGNC:34273]"	X	48776965	48777071
ENSG00000202272	ENST00000365402		Y RNA [Source:RFAM;Acc:RF00019]	X	23782210	23782310
ENSG00000207033	ENST00000384306		"RNA, U6 small nuclear 154, pseudogene [Source:HGNC Symbol;Acc:HGNC:47117]"	X	116400848	116400953
ENSG00000264484	ENST00000582484		"RNA, 7SL, cytoplasmic 697, pseudogene [Source:HGNC Symbol;Acc:HGNC:46713]"	X	154495815	154496113
ENSG00000236880	ENST00000415547			X	124688504	124688838
ENSG00000201285	ENST00000364415		5S ribosomal RNA [Source:RFAM;Acc:RF00001]	X	148008100	148008215
ENSG00000226532	ENST00000412004			X	124326175	124326258
ENSG00000211578	ENST00000390223		microRNA 766 [Source:HGNC Symbol;Acc:HGNC:33139]	X	119646743	119646854
ENSG00000207165	ENST00000384436		"small nucleolar RNA, H/ACA box 70 [Source:HGNC Symbol;Acc:HGNC:10231]"	X	154400281	154400415
ENSG00000242998	ENST00000479912		"RNA, 7SL, cytoplasmic 379, pseudogene [Source:HGNC Symbol;Acc:HGNC:46395]"	X	96023360	96023652
ENSG00000266526	ENST00000583526			X	65215237	65215342
ENSG00000201407	ENST00000364537		Small nucleolar RNA SNORA68 [Source:RFAM;Acc:RF00263]	X	24133186	24133317
ENSG00000241248	ENST00000482164		"RNA, 7SL, cytoplasmic 727, pseudogene [Source:HGNC Symbol;Acc:HGNC:46743]"	X	140085855	140086150
ENSG00000187516	ENST00000341016	ENSP00000339511	huntingtin interacting protein M [Source:HGNC Symbol;Acc:HGNC:18417]	X	37990817	37991317
ENSG00000211495	ENST00000390161			X	133746748	133746846
ENSG00000273811	ENST00000611483			X	119810257	119810359
ENSG00000207291	ENST00000384561		"RNA, U6 small nuclear 30, pseudogene [Source:HGNC Symbol;Acc:HGNC:34274]"	X	101634006	101634112
ENSG00000202304	ENST00000365434		"RNA, U6 small nuclear 1130, pseudogene [Source:HGNC Symbol;Acc:HGNC:48093]"	X	130310072	130310178
ENSG00000275975	ENST00000611704		Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	X	71368666	71368968
ENSG00000216060	ENST00000401241		microRNA 934 [Source:HGNC Symbol;Acc:HGNC:33677]	X	136550878	136550960
ENSG00000207515	ENST00000384784		"RNA, U6 small nuclear 555, pseudogene [Source:HGNC Symbol;Acc:HGNC:47518]"	X	90597235	90597340
ENSG00000207820	ENST00000385085		microRNA 545 [Source:HGNC Symbol;Acc:HGNC:32531]	X	74287104	74287209
ENSG00000199878	ENST00000363008		"RNA, 7SK small nuclear pseudogene 149 [Source:HGNC Symbol;Acc:HGNC:45873]"	X	143197248	143197591
ENSG00000243011	ENST00000465140		"RNA, 7SL, cytoplasmic 266, pseudogene [Source:HGNC Symbol;Acc:HGNC:46282]"	X	112855874	112856162
ENSG00000200635	ENST00000363765		Y RNA [Source:RFAM;Acc:RF00019]	X	55582733	55582834
ENSG00000207957	ENST00000385222		microRNA 105-1 [Source:HGNC Symbol;Acc:HGNC:31492]	X	152392219	152392299
ENSG00000207970	ENST00000385235		microRNA 660 [Source:HGNC Symbol;Acc:HGNC:32916]	X	50013236	50013345
ENSG00000272351	ENST00000606950		"RNA, 5S ribosomal pseudogene 506 [Source:HGNC Symbol;Acc:HGNC:43406]"	X	69672479	69672597
ENSG00000264746	ENST00000584512			X	24348809	24348906
ENSG00000200702	ENST00000363832		Y RNA [Source:RFAM;Acc:RF00019]	X	44401603	44401704
ENSG00000207867	ENST00000385132		microRNA 514a-3 [Source:HGNC Symbol;Acc:HGNC:32150]	X	147284641	147284728
ENSG00000281119	ENST00000631013			X	15716262	15716364
ENSG00000206864	ENST00000384137		"RNA, U6 small nuclear 207, pseudogene [Source:HGNC Symbol;Acc:HGNC:47170]"	X	105676071	105676177
ENSG00000201447	ENST00000364577		"RNA, 5S ribosomal pseudogene 509 [Source:HGNC Symbol;Acc:HGNC:43409]"	X	77066709	77066827
ENSG00000206979	ENST00000384252		"small nucleolar RNA, C/D box 61 [Source:HGNC Symbol;Acc:HGNC:10218]"	X	136879199	136879271
ENSG00000199832	ENST00000362962		Y RNA [Source:RFAM;Acc:RF00019]	X	107202577	107202683
ENSG00000281786	ENST00000630546			X	44982494	44982556
ENSG00000272080	ENST00000606349		microRNA 502 [Source:HGNC Symbol;Acc:HGNC:32136]	X	50014598	50014683
ENSG00000237619	ENST00000437536		"olfactory receptor, family 3, subfamily B, member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:14839]"	X	154658790	154659682
ENSG00000263858	ENST00000584126		microRNA 4769 [Source:HGNC Symbol;Acc:HGNC:41694]	X	47587429	47587505
ENSG00000252205	ENST00000516396		"RNA, U6 small nuclear 764, pseudogene [Source:HGNC Symbol;Acc:HGNC:47727]"	X	152250572	152250676
ENSG00000208005	ENST00000385270		microRNA 503 [Source:HGNC Symbol;Acc:HGNC:32138]	X	134546328	134546398
ENSG00000212100	ENST00000390811		microRNA 764 [Source:HGNC Symbol;Acc:HGNC:37306]	X	114639435	114639519
ENSG00000207710	ENST00000384977		microRNA 20b [Source:HGNC Symbol;Acc:HGNC:32024]	X	134169809	134169877
ENSG00000212013	ENST00000390724		microRNA 509-2 [Source:HGNC Symbol;Acc:HGNC:33641]	X	147258760	147258850
ENSG00000221729	ENST00000408802			X	36577396	36577491
ENSG00000280897	ENST00000627239			X	79158031	79158119
ENSG00000201518	ENST00000364648		"RNA, 5S ribosomal pseudogene 513 [Source:HGNC Symbol;Acc:HGNC:43413]"	X	129436530	129436647
ENSG00000182378	ENST00000399012	ENSP00000381976	"phosphatidylinositol-specific phospholipase C, X domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23148]"	X	276322	303356
ENSG00000182378	ENST00000484611		"phosphatidylinositol-specific phospholipase C, X domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23148]"	X	276322	303356
ENSG00000182378	ENST00000430923	ENSP00000394848	"phosphatidylinositol-specific phospholipase C, X domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23148]"	X	276322	303356
ENSG00000182378	ENST00000445062	ENSP00000412018	"phosphatidylinositol-specific phospholipase C, X domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23148]"	X	276322	303356
ENSG00000182378	ENST00000381657	ENSP00000371073	"phosphatidylinositol-specific phospholipase C, X domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23148]"	X	276322	303356
ENSG00000182378	ENST00000429181	ENSP00000400904	"phosphatidylinositol-specific phospholipase C, X domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23148]"	X	276322	303356
ENSG00000182378	ENST00000443019	ENSP00000408558	"phosphatidylinositol-specific phospholipase C, X domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23148]"	X	276322	303356
ENSG00000182378	ENST00000415337	ENSP00000399510	"phosphatidylinositol-specific phospholipase C, X domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23148]"	X	276322	303356
ENSG00000182378	ENST00000447472	ENSP00000405307	"phosphatidylinositol-specific phospholipase C, X domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23148]"	X	276322	303356
ENSG00000182378	ENST00000448477	ENSP00000414181	"phosphatidylinositol-specific phospholipase C, X domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23148]"	X	276322	303356
ENSG00000182378	ENST00000381663	ENSP00000371079	"phosphatidylinositol-specific phospholipase C, X domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23148]"	X	276322	303356
ENSG00000252050	ENST00000516241		Small nucleolar RNA SNORA31 [Source:RFAM;Acc:RF00322]	X	38308112	38308241
ENSG00000239579	ENST00000460434		"RNA, 7SL, cytoplasmic 325, pseudogene [Source:HGNC Symbol;Acc:HGNC:46341]"	X	137595265	137595547
ENSG00000201882	ENST00000365012		Small nucleolar RNA U2-30 [Source:RFAM;Acc:RF00493]	X	20136066	20136135
ENSG00000264604	ENST00000579664			X	69504705	69504823
ENSG00000222864	ENST00000410932			X	35056331	35056458
ENSG00000276575	ENST00000613497		microRNA 6895 [Source:HGNC Symbol;Acc:HGNC:50210]	X	53195411	53195488
ENSG00000265170	ENST00000582817		"RNA, 7SL, cytoplasmic 667, pseudogene [Source:HGNC Symbol;Acc:HGNC:46683]"	X	153403844	153404141
ENSG00000240439	ENST00000469313		"RNA, 7SL, cytoplasmic 91, pseudogene [Source:HGNC Symbol;Acc:HGNC:46107]"	X	25060649	25060939
ENSG00000277569	ENST00000617606		microRNA 6134 [Source:HGNC Symbol;Acc:HGNC:49951]	X	28495555	28495663
ENSG00000201392	ENST00000364522		"RNA, U6 small nuclear 1078, pseudogene [Source:HGNC Symbol;Acc:HGNC:48041]"	X	71965972	71966074
ENSG00000274871	ENST00000611720			X	126863514	126863581
ENSG00000233093	ENST00000454385		long intergenic non-protein coding RNA 892 [Source:HGNC Symbol;Acc:HGNC:48578]	X	136639543	136642429
ENSG00000233093	ENST00000429841		long intergenic non-protein coding RNA 892 [Source:HGNC Symbol;Acc:HGNC:48578]	X	136639543	136642429
ENSG00000233093	ENST00000427517		long intergenic non-protein coding RNA 892 [Source:HGNC Symbol;Acc:HGNC:48578]	X	136639543	136642429
ENSG00000277353	ENST00000614367			X	132435097	132435189
ENSG00000202279	ENST00000365409		Y RNA [Source:RFAM;Acc:RF00019]	X	136816477	136816574
ENSG00000200587	ENST00000363717		"RNA, 5S ribosomal pseudogene 514 [Source:HGNC Symbol;Acc:HGNC:43414]"	X	131938846	131938956
ENSG00000265584	ENST00000585195		microRNA 3978 [Source:HGNC Symbol;Acc:HGNC:41630]	X	110082118	110082218
ENSG00000207812	ENST00000385077		microRNA 19b-2 [Source:HGNC Symbol;Acc:HGNC:31576]	X	134169671	134169767
ENSG00000216005	ENST00000401186		microRNA 888 [Source:HGNC Symbol;Acc:HGNC:33648]	X	145994784	145994860
ENSG00000263652	ENST00000580117		microRNA 548ax [Source:HGNC Symbol;Acc:HGNC:43528]	X	11318614	11318686
ENSG00000252491	ENST00000516682		"RNA, U1 small nuclear 142, pseudogene [Source:HGNC Symbol;Acc:HGNC:48484]"	X	26790142	26790286
ENSG00000201443	ENST00000364573		"RNA, U6 small nuclear 309, pseudogene [Source:HGNC Symbol;Acc:HGNC:47272]"	X	108826764	108826869
ENSG00000278421	ENST00000612917		"FTX transcript, XIST regulator conserved region 1 [Source:RFAM;Acc:RF02119]"	X	74274341	74274411
ENSG00000215943	ENST00000401124		microRNA 892a [Source:HGNC Symbol;Acc:HGNC:33639]	X	145996669	145996743
ENSG00000277433	ENST00000611657			X	132890379	132890470
ENSG00000207202	ENST00000384473		"RNA, U6 small nuclear 800, pseudogene [Source:HGNC Symbol;Acc:HGNC:47763]"	X	10582817	10582919
ENSG00000207151	ENST00000384422		Y RNA [Source:RFAM;Acc:RF00019]	X	11116092	11116193
ENSG00000252145	ENST00000516336		"RNA, U6 small nuclear 1225, pseudogene [Source:HGNC Symbol;Acc:HGNC:48188]"	X	68102068	68102132
ENSG00000239228	ENST00000477781		"RNA, 7SL, cytoplasmic 578, pseudogene [Source:HGNC Symbol;Acc:HGNC:46594]"	X	3058220	3058502
ENSG00000221494	ENST00000408567		microRNA 548i-4 [Source:HGNC Symbol;Acc:HGNC:35355]	X	84225752	84225828
ENSG00000277896	ENST00000620293			X	22173493	22173587
ENSG00000207100	ENST00000384372		Small nucleolar RNA SNORA8 [Source:RFAM;Acc:RF00393]	X	133152754	133152892
ENSG00000280539	ENST00000627945			X	47577263	47577346
ENSG00000221716	ENST00000408789		"small nucleolar RNA, H/ACA box 11 [Source:HGNC Symbol;Acc:HGNC:32599]"	X	54814370	54814497
ENSG00000212321	ENST00000391019		Small nucleolar RNA U3 [Source:RFAM;Acc:RF00012]	X	122840426	122840645
ENSG00000237539	ENST00000334569			X	15646167	15646875
ENSG00000226339	ENST00000444468		ribosomal protein S26 pseudogene 56 [Source:HGNC Symbol;Acc:HGNC:35858]	X	129408382	129408621
ENSG00000221392	ENST00000408465			X	103810384	103810508
ENSG00000239594	ENST00000454574		microRNA 18b [Source:HGNC Symbol;Acc:HGNC:32025]	X	134170017	134170125
ENSG00000009694	ENST00000371130	ENSP00000360171	teneurin transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:8117]	X	124375903	124963817
ENSG00000009694	ENST00000461429		teneurin transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:8117]	X	124375903	124963817
ENSG00000009694	ENST00000422452	ENSP00000403954	teneurin transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:8117]	X	124375903	124963817
ENSG00000223274	ENST00000411342		"RNA, 5S ribosomal pseudogene 498 [Source:HGNC Symbol;Acc:HGNC:43398]"	X	1300256	1300375
ENSG00000263886	ENST00000580355			X	125287776	125287843
ENSG00000277721	ENST00000616060		Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	X	46553522	46553775
ENSG00000147003	ENST00000380342	ENSP00000369699	transmembrane protein 27 [Source:HGNC Symbol;Acc:HGNC:29437]	X	15627318	15665031
ENSG00000264759	ENST00000580961			X	115703812	115703867
ENSG00000252120	ENST00000516311			X	44577354	44577438
ENSG00000199567	ENST00000362697		Y RNA [Source:RFAM;Acc:RF00019]	X	86019608	86019715
ENSG00000276158	ENST00000616374			X	114652625	114652736
ENSG00000212605	ENST00000391303		"RNA, U1 small nuclear 56, pseudogene [Source:HGNC Symbol;Acc:HGNC:48398]"	X	71020275	71020438
ENSG00000206862	ENST00000384135		Y RNA [Source:RFAM;Acc:RF00019]	X	118569405	118569515
ENSG00000263686	ENST00000408477			X	126732436	126732520
ENSG00000216075	ENST00000401256		microRNA 890 [Source:HGNC Symbol;Acc:HGNC:33644]	X	145994275	145994351
ENSG00000241198	ENST00000484366		"RNA, 7SL, cytoplasmic 191, pseudogene [Source:HGNC Symbol;Acc:HGNC:46207]"	X	131134086	131134390
ENSG00000252978	ENST00000517169		"RNA, 7SK small nuclear pseudogene 183 [Source:HGNC Symbol;Acc:HGNC:45907]"	X	20452108	20452431
ENSG00000212584	ENST00000391282		"RNA, U6 small nuclear 587, pseudogene [Source:HGNC Symbol;Acc:HGNC:47550]"	X	101691580	101691685
ENSG00000263377	ENST00000584172			X	140404099	140404190
ENSG00000207939	ENST00000385204		microRNA 223 [Source:HGNC Symbol;Acc:HGNC:31603]	X	66018870	66018979
ENSG00000265211	ENST00000583959			X	50645112	50645209
ENSG00000281047	ENST00000625873			X	20274433	20274577
ENSG00000207041	ENST00000384314		"RNA, U6 small nuclear 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:34275]"	X	141118030	141118136
ENSG00000277605	ENST00000620748		Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	X	47476822	47477152
ENSG00000281066	ENST00000627702			X	153666422	153666511
ENSG00000252178	ENST00000516369		"RNA, U7 small nuclear 69 pseudogene [Source:HGNC Symbol;Acc:HGNC:34165]"	X	123772078	123772139
ENSG00000212434	ENST00000391132		Small nucleolar RNA U3 [Source:RFAM;Acc:RF00012]	X	69692956	69693155
ENSG00000222161	ENST00000410229			X	105860689	105860762
ENSG00000252069	ENST00000516260		Y RNA [Source:RFAM;Acc:RF00019]	X	109744643	109744749
ENSG00000242065	ENST00000487916		"RNA, 7SL, cytoplasmic 291, pseudogene [Source:HGNC Symbol;Acc:HGNC:46307]"	X	44772773	44773061
ENSG00000165168	ENST00000378588	ENSP00000367851	"cytochrome b-245, beta polypeptide [Source:HGNC Symbol;Acc:HGNC:2578]"	X	37780011	37813461
ENSG00000165168	ENST00000492288		"cytochrome b-245, beta polypeptide [Source:HGNC Symbol;Acc:HGNC:2578]"	X	37780011	37813461
ENSG00000277900	ENST00000619127		Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	X	97081674	97081956
